HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Sociedad,Mallorca,15,7,4,3,11,12,8,2,3,1,0,0,0,1,A
Getafe,Las Palmas,11,10,6,5,14,15,3,2,0,2,1,0,1,0,A
Celta,Espanol,16,5,6,3,14,10,13,5,2,2,0,0,0,1,A
Leganes,Barcelona,6,12,1,3,10,4,4,8,2,1,0,0,0,0,A
Osasuna,Girona,13,18,6,8,17,15,4,4,2,0,0,0,1,0,H
Alaves,Real Madrid,13,11,6,4,21,12,4,4,4,4,1,1,0,1,A
Betis,Villarreal,24,8,5,2,4,13,5,5,0,4,0,0,1,1,A
Ath Bilbao,Vallecano,13,11,4,3,12,7,7,1,4,3,0,0,0,1,H
Ath Madrid,Valladolid,24,6,9,3,11,8,5,1,1,1,0,0,2,1,H
Espanol,Getafe,9,9,3,4,12,15,6,8,0,2,0,1,1,0,H
Vallecano,Valencia,11,10,4,3,18,13,5,2,3,1,0,0,1,0,D
Barcelona,Celta,18,11,6,8,10,13,4,1,2,2,0,0,1,1,H
Mallorca,Leganes,11,15,1,1,17,15,4,4,2,1,0,0,0,0,D
Las Palmas,Ath Madrid,8,7,2,2,13,13,4,4,3,1,0,0,0,0,H
Valladolid,Osasuna,12,11,5,6,12,17,5,2,2,0,0,0,0,2,A
Villarreal,Sociedad,20,4,5,4,12,12,10,4,5,1,0,0,1,1,D
Sevilla,Alaves,10,11,2,3,10,11,3,6,2,2,0,0,1,1,D
Real Madrid,Ath Bilbao,22,3,7,1,7,15,14,1,1,2,0,0,0,0,H
Girona,Betis,11,17,5,9,13,11,8,9,3,2,0,0,0,3,A
Valencia,Espanol,16,8,7,3,7,7,6,4,2,1,0,0,0,1,D
Barcelona,Mallorca,40,4,13,0,10,7,13,2,0,1,0,0,0,0,H
Ath Bilbao,Las Palmas,13,10,4,2,13,9,3,3,1,3,0,0,1,0,H
Celta,Villarreal,21,4,9,1,16,10,6,3,2,1,0,1,1,0,H
Alaves,Sociedad,10,6,1,0,17,17,6,6,4,5,0,0,0,0,H
Getafe,Real Madrid,20,14,6,7,15,7,4,4,3,1,0,0,0,1,A
Leganes,Girona,7,8,1,3,16,18,4,5,4,2,1,0,0,0,D
Osasuna,Sevilla,9,12,2,3,14,13,4,4,4,2,0,1,1,0,H
Ath Madrid,Vallecano,10,12,5,5,8,15,6,3,0,2,0,0,2,0,H
Betis,Valladolid,16,10,6,5,7,7,4,4,1,0,0,0,1,1,H
Villarreal,Espanol,14,12,5,1,19,11,8,6,4,0,0,0,0,0,H
Vallecano,Getafe,13,12,8,1,12,13,7,3,3,2,0,1,1,0,H
Alaves,Ath Madrid,8,9,2,2,18,13,3,5,3,2,0,0,0,0,D
Villarreal,Osasuna,15,11,5,4,10,18,2,8,4,1,0,0,3,0,H
Las Palmas,Valencia,15,10,3,5,12,6,9,5,1,1,0,0,1,1,A
Valladolid,Barcelona,5,24,4,7,12,15,4,8,3,2,0,0,1,0,A
Real Madrid,Celta,17,14,6,7,5,11,4,6,2,1,0,0,2,0,H
Sevilla,Leganes,25,9,7,3,17,12,8,2,4,5,0,0,1,1,D
Espanol,Betis,11,20,5,10,16,10,3,7,2,0,0,0,1,0,A
Sociedad,Ath Bilbao,12,3,3,1,18,13,7,3,1,2,0,0,0,0,D
Girona,Mallorca,13,9,6,1,11,14,5,2,0,2,0,0,1,0,H
Las Palmas,Vallecano,11,16,2,5,8,9,8,8,2,3,0,0,0,0,A
Valencia,Getafe,10,10,6,3,17,20,2,6,3,5,0,0,3,0,H
Celta,Sevilla,8,19,4,10,11,16,3,6,0,2,1,0,1,1,H
Girona,Villarreal,7,14,0,5,13,10,5,3,2,3,0,0,0,0,A
Mallorca,Valladolid,12,16,4,7,16,12,5,10,2,1,0,0,1,1,H
Ath Madrid,Sociedad,13,6,7,1,7,12,3,3,0,1,0,0,4,0,H
Leganes,Espanol,13,12,5,6,14,18,3,8,2,2,0,0,2,0,H
Barcelona,Real Madrid,23,9,9,5,17,15,10,2,4,3,0,0,4,2,H
Ath Bilbao,Alaves,11,4,3,1,17,12,9,2,1,1,0,0,0,0,H
Betis,Osasuna,10,16,5,5,8,12,6,7,3,2,0,0,0,0,D
Valladolid,Girona,11,13,4,5,5,19,6,4,0,0,0,0,0,0,A
Sociedad,Celta,15,6,5,2,18,11,14,1,3,1,0,0,0,1,A
Sevilla,Las Palmas,10,14,3,3,22,15,4,2,6,6,0,0,0,0,H
Alaves,Valencia,11,10,5,3,16,10,9,4,4,3,0,0,0,0,H
Villarreal,Leganes,17,23,7,6,5,11,3,6,1,1,0,0,3,0,H
Real Madrid,Mallorca,39,4,13,2,6,15,26,0,0,3,0,0,0,1,H
Vallecano,Betis,20,10,6,3,8,18,10,7,1,3,0,0,2,0,D
Osasuna,Ath Madrid,9,9,3,5,12,11,3,5,1,1,0,0,1,0,H
Espanol,Barcelona,9,12,1,4,8,10,3,3,2,2,1,0,0,0,A
Getafe,Ath Bilbao,11,9,1,2,10,7,2,5,1,0,0,0,0,0,A
Ath Madrid,Betis,20,12,11,7,12,9,7,4,1,1,0,0,2,0,H
Barcelona,Villarreal,24,7,9,3,14,9,11,3,2,0,0,0,2,1,A
Celta,Vallecano,24,7,7,2,10,17,9,2,2,3,0,0,1,2,A
Las Palmas,Leganes,12,11,3,4,15,12,9,2,2,2,0,0,0,1,A
Mallorca,Getafe,7,10,1,4,14,9,3,4,2,2,0,0,0,0,A
Osasuna,Espanol,16,16,3,6,11,5,8,6,1,1,0,0,1,0,H
Sevilla,Real Madrid,6,16,1,6,7,9,1,7,0,1,2,0,0,0,A
Sociedad,Girona,15,9,9,5,10,9,9,2,1,3,0,0,2,1,H
Valencia,Ath Bilbao,6,10,2,4,10,16,5,3,3,1,0,0,0,0,A
Valladolid,Alaves,7,14,1,4,12,24,5,9,0,2,0,0,0,1,A
Betis,Valencia,14,9,4,2,8,12,3,2,1,2,0,0,1,0,D
Real Madrid,Sociedad,16,9,8,1,5,7,11,4,0,0,0,0,1,0,H
Espanol,Las Palmas,8,10,3,4,12,11,3,6,3,2,0,0,0,0,H
Leganes,Valladolid,16,6,6,2,11,16,3,4,0,1,0,0,3,0,H
Alaves,Osasuna,14,19,5,5,15,6,5,9,2,2,0,0,0,0,D
Getafe,Celta,6,15,1,8,13,10,2,6,3,4,1,0,1,1,A
Vallecano,Mallorca,27,9,8,2,9,14,11,2,2,2,0,0,0,0,D
Girona,Ath Madrid,2,19,1,11,13,11,1,8,0,1,0,0,0,0,A
Villarreal,Sevilla,12,17,7,6,8,14,3,5,0,1,0,0,3,1,H
Ath Bilbao,Barcelona,10,13,1,4,21,10,2,6,1,0,0,0,0,2,A
Almeria,Vallecano,19,10,5,4,16,25,8,3,1,3,0,0,0,2,A
Sevilla,Valencia,9,10,3,3,15,17,8,1,3,2,1,0,0,0,A
Sociedad,Girona,15,6,2,1,22,9,4,1,2,5,0,0,1,0,D
Las Palmas,Mallorca,5,12,2,2,11,21,3,6,3,2,0,0,1,0,D
Ath Bilbao,Real Madrid,7,14,1,8,18,6,7,5,3,1,0,0,0,2,A
Celta,Osasuna,11,11,1,5,11,15,7,2,1,1,0,0,0,1,A
Villarreal,Betis,18,12,5,5,13,17,9,4,1,3,0,0,0,1,A
Getafe,Barcelona,5,14,2,4,20,11,3,4,8,2,1,1,0,0,D
Cadiz,Alaves,12,10,3,2,19,15,2,4,3,2,1,0,1,0,H
Ath Madrid,Granada,14,7,6,4,15,9,3,3,3,1,0,0,1,0,H
Mallorca,Villarreal,8,15,1,3,12,11,6,5,2,4,0,0,0,0,A
Valencia,Las Palmas,9,7,4,1,12,6,6,4,0,0,0,0,0,0,H
Sociedad,Celta,11,17,2,6,12,12,9,7,2,1,0,0,1,0,D
Almeria,Real Madrid,20,24,8,9,10,13,4,5,1,0,0,0,1,1,A
Osasuna,Ath Bilbao,18,8,7,2,9,14,5,3,1,5,1,1,0,2,A
Girona,Getafe,7,9,6,2,11,20,3,2,2,5,0,0,1,0,H
Barcelona,Cadiz,23,10,10,1,9,22,10,2,4,3,0,0,0,0,H
Betis,Ath Madrid,14,5,0,1,10,8,2,7,2,1,0,0,0,0,D
Alaves,Sevilla,14,12,7,2,14,13,4,4,1,2,0,0,2,2,H
Granada,Vallecano,14,17,7,9,14,11,5,6,2,1,1,0,0,0,A
Las Palmas,Sociedad,11,8,5,1,7,29,5,7,1,4,0,0,0,0,D
Celta,Real Madrid,13,10,4,3,19,14,3,5,2,3,0,0,0,0,A
Cadiz,Almeria,11,5,3,2,16,22,7,3,0,5,1,1,0,0,D
Granada,Mallorca,10,10,4,5,11,27,5,3,2,7,0,0,1,1,H
Sevilla,Girona,21,8,4,3,11,18,6,6,2,1,0,0,1,1,A
Villarreal,Barcelona,13,21,6,11,12,14,2,6,3,3,0,0,2,2,A
Valencia,Osasuna,16,7,4,2,13,12,6,3,3,4,0,0,0,1,A
Ath Bilbao,Betis,14,7,6,3,23,11,5,3,4,2,0,0,3,2,H
Getafe,Alaves,15,16,4,2,13,15,4,5,1,2,0,0,0,0,H
Vallecano,Ath Madrid,12,17,3,10,19,17,8,3,4,3,0,0,0,3,A
Cadiz,Villarreal,18,7,4,3,21,15,7,3,5,4,0,1,2,1,H
Almeria,Celta,16,14,5,8,9,9,6,5,1,1,0,0,0,2,A
Sociedad,Granada,15,8,6,5,15,14,2,5,1,5,0,0,2,1,H
Real Madrid,Getafe,26,6,12,2,12,16,11,1,2,6,0,0,0,1,H
Alaves,Valencia,7,9,1,4,18,9,1,2,4,2,0,0,1,0,H
Betis,Vallecano,14,15,5,6,22,20,2,3,3,5,0,0,0,0,H
Girona,Las Palmas,11,10,6,5,15,10,3,5,3,3,0,0,0,0,H
Mallorca,Ath Bilbao,8,11,2,3,12,17,3,5,0,1,0,0,0,0,D
Osasuna,Barcelona,11,9,3,4,6,16,8,5,1,3,1,0,0,1,A
Vallecano,Alaves,20,9,11,1,15,14,5,3,2,3,0,0,1,0,H
Ath Bilbao,Cadiz,20,5,9,4,10,20,5,4,1,4,0,0,0,0,H
Valencia,Ath Madrid,12,11,8,3,13,17,5,8,1,5,0,0,2,0,H
Celta,Mallorca,16,7,4,4,9,15,10,1,1,3,0,0,0,0,A
Barcelona,Betis,17,11,9,2,9,10,9,5,1,2,0,0,2,0,H
Getafe,Osasuna,11,8,6,3,15,11,6,3,6,2,0,0,1,1,H
Villarreal,Almeria,10,17,4,7,16,6,7,6,2,3,0,0,1,1,H
Sevilla,Las Palmas,26,12,9,2,13,12,7,3,3,5,0,0,0,0,H
Real Madrid,Sociedad,17,15,8,5,11,14,4,3,3,2,0,0,0,1,H
Granada,Girona,12,13,5,7,13,21,4,5,3,3,0,0,0,3,A
Alaves,Ath Bilbao,15,11,5,3,13,9,3,4,2,2,0,0,0,1,A
Girona,Mallorca,23,15,10,5,10,12,6,5,1,5,0,0,4,1,H
Osasuna,Sevilla,16,15,2,3,11,7,7,4,2,3,0,0,0,0,D
Barcelona,Celta,15,13,6,7,10,11,2,3,2,1,0,0,0,1,H
Almeria,Valencia,17,7,10,5,12,10,8,3,4,2,0,0,0,1,D
Sociedad,Getafe,10,10,6,7,13,24,2,1,3,2,0,0,1,2,H
Vallecano,Villarreal,11,13,6,6,20,18,2,8,2,3,0,1,1,1,D
Betis,Cadiz,21,5,7,1,10,14,11,8,2,3,0,0,0,1,D
Las Palmas,Granada,10,2,3,1,13,19,6,7,6,4,1,0,0,0,H
Ath Madrid,Real Madrid,10,20,4,5,13,10,6,11,1,3,0,0,2,1,H
Sevilla,Almeria,18,10,9,1,15,16,9,4,3,2,0,0,3,0,H
Mallorca,Barcelona,10,10,5,4,19,7,7,2,4,1,1,0,2,1,D
Ath Bilbao,Getafe,9,13,4,5,9,19,5,4,5,6,1,0,1,0,D
Real Madrid,Las Palmas,21,16,9,2,7,9,7,2,0,1,0,0,1,0,H
Villarreal,Girona,14,17,3,5,9,11,5,6,3,2,0,0,0,0,A
Cadiz,Vallecano,9,9,2,4,16,13,1,2,5,6,0,1,0,0,D
Valencia,Sociedad,9,2,2,1,14,17,0,2,4,7,1,0,0,1,A
Celta,Alaves,8,21,0,11,9,11,2,8,5,3,1,0,1,0,D
Granada,Betis,19,13,7,3,14,10,5,7,2,1,0,0,0,0,D
Osasuna,Ath Madrid,13,4,2,3,14,4,7,2,3,3,1,1,0,1,A
Barcelona,Sevilla,18,12,5,3,11,15,13,3,2,3,0,0,0,0,H
Getafe,Villarreal,22,3,9,0,19,11,6,4,2,4,0,1,0,0,D
Vallecano,Mallorca,19,9,5,4,12,20,5,0,2,5,0,0,1,1,D
Girona,Real Madrid,13,14,3,7,13,14,1,4,2,2,0,1,0,2,A
Sociedad,Ath Bilbao,8,18,5,3,20,9,5,7,2,2,0,0,1,0,H
Almeria,Granada,17,19,5,4,18,14,1,5,2,1,0,0,3,0,D
Alaves,Osasuna,17,10,3,3,13,13,4,2,2,3,1,0,0,1,A
Ath Madrid,Cadiz,18,8,9,4,5,10,5,3,1,3,0,0,1,2,H
Betis,Valencia,15,9,7,2,11,10,5,3,2,2,0,0,1,0,H
Las Palmas,Celta,16,11,5,3,13,14,4,5,2,1,0,0,0,0,H
Ath Bilbao,Almeria,23,4,9,1,11,7,6,2,2,0,0,0,1,0,H
Cadiz,Girona,8,20,2,5,12,13,5,5,1,3,1,0,0,0,A
Real Madrid,Osasuna,19,7,9,1,9,6,5,4,2,2,0,0,1,0,H
Mallorca,Valencia,9,11,5,3,17,11,3,6,2,1,0,0,1,1,D
Sevilla,Vallecano,22,7,6,4,16,19,12,2,5,2,0,0,0,2,D
Villarreal,Las Palmas,9,8,4,5,17,7,7,2,4,4,0,0,0,1,A
Ath Madrid,Sociedad,14,13,5,4,9,12,1,4,3,3,0,0,1,0,H
Alaves,Betis,15,6,5,2,13,9,5,3,3,3,0,1,1,1,D
Celta,Getafe,26,3,11,2,14,20,13,1,1,8,0,1,2,2,D
Granada,Barcelona,7,22,2,10,12,7,1,11,4,1,0,0,2,1,D
Osasuna,Granada,12,13,6,3,19,13,1,7,3,4,0,1,1,0,H
Sociedad,Mallorca,14,18,6,7,14,16,2,5,3,3,0,0,0,0,H
Getafe,Betis,14,13,4,3,17,11,4,8,5,2,0,0,1,1,D
Sevilla,Real Madrid,17,14,7,5,13,6,4,6,5,2,0,0,0,0,D
Celta,Ath Madrid,16,12,3,7,10,10,7,5,3,2,1,0,0,1,A
Las Palmas,Vallecano,12,12,6,4,13,11,10,5,4,3,0,1,0,0,A
Girona,Almeria,19,9,8,5,11,14,9,6,1,2,0,0,3,2,H
Villarreal,Alaves,12,16,3,7,15,10,9,3,4,3,0,0,0,0,D
Barcelona,Ath Bilbao,12,10,7,3,11,18,4,7,3,3,0,0,0,0,H
Valencia,Cadiz,12,5,4,4,16,16,4,6,0,3,0,1,2,0,H
Girona,Celta,12,4,2,2,15,12,10,1,3,2,0,0,0,0,H
Almeria,Las Palmas,10,10,4,3,13,19,3,2,3,1,0,0,0,1,A
Barcelona,Real Madrid,15,13,3,4,15,15,6,3,2,1,0,0,1,0,A
Mallorca,Getafe,15,8,4,0,10,25,8,3,0,1,0,0,0,0,D
Cadiz,Sevilla,10,20,5,10,17,12,2,4,6,4,0,0,2,1,D
Betis,Osasuna,9,7,2,1,10,25,6,3,3,4,0,0,1,0,H
Vallecano,Sociedad,16,15,7,3,17,16,4,5,3,2,0,0,1,1,D
Ath Bilbao,Valencia,12,11,7,5,11,10,10,4,3,1,0,0,1,0,D
Ath Madrid,Alaves,11,8,7,1,10,11,4,4,3,2,0,0,2,0,H
Granada,Villarreal,18,6,8,5,14,15,4,1,0,4,0,0,2,3,A
Las Palmas,Ath Madrid,9,13,3,5,12,9,3,4,0,3,0,0,0,0,H
Osasuna,Girona,15,11,3,4,14,10,2,7,5,3,0,0,1,1,A
Betis,Mallorca,22,8,3,1,13,16,6,1,1,4,0,1,1,0,H
Celta,Sevilla,15,13,3,5,14,10,4,6,2,5,1,0,1,0,D
Sociedad,Barcelona,13,12,6,4,16,8,8,3,3,3,0,0,0,0,A
Alaves,Almeria,23,9,3,3,13,14,12,6,2,3,0,0,0,0,H
Valencia,Granada,11,6,2,1,20,15,0,4,3,5,0,0,1,0,H
Villarreal,Ath Bilbao,17,17,6,7,11,18,9,3,4,4,0,0,0,3,A
Real Madrid,Vallecano,22,4,5,0,12,15,11,1,3,5,0,0,0,0,D
Getafe,Cadiz,13,6,3,2,18,12,6,3,7,1,1,0,0,0,H
Ath Bilbao,Celta,21,13,12,5,15,13,7,2,2,2,0,0,2,2,H
Vallecano,Girona,22,19,9,7,15,13,8,3,1,2,0,0,1,1,A
Almeria,Sociedad,7,18,2,6,18,19,5,5,2,2,0,0,0,0,A
Granada,Getafe,12,10,6,6,14,9,3,5,4,2,0,0,1,1,D
Osasuna,Las Palmas,11,6,3,1,25,10,8,3,1,1,0,0,0,0,D
Real Madrid,Valencia,16,10,7,4,7,26,4,4,1,3,0,0,2,0,H
Barcelona,Alaves,11,8,6,1,11,10,2,1,2,1,0,0,0,1,H
Sevilla,Betis,13,14,4,6,18,14,9,5,1,1,0,0,0,0,D
Ath Madrid,Villarreal,25,11,10,7,8,8,6,3,0,2,0,0,1,1,H
Alaves,Granada,8,11,5,4,10,13,6,2,1,3,0,0,2,0,H
Vallecano,Barcelona,10,15,4,4,23,13,1,4,3,4,0,0,1,0,D
Valencia,Celta,8,13,0,1,13,7,5,7,3,2,0,0,0,0,D
Getafe,Almeria,18,13,5,4,12,8,3,6,2,4,0,0,2,1,H
Ath Madrid,Mallorca,20,8,3,1,8,19,7,3,0,0,0,0,0,0,H
Villarreal,Osasuna,10,15,3,7,9,14,2,4,0,0,0,0,0,0,H
Sociedad,Sevilla,11,8,8,2,22,8,4,4,2,1,0,2,2,0,H
Cadiz,Real Madrid,13,14,4,5,16,16,4,4,3,3,0,0,0,1,A
Betis,Las Palmas,12,15,6,4,7,12,7,6,1,2,0,0,1,0,H
Girona,Ath Bilbao,12,13,2,6,8,16,2,6,1,1,0,0,0,0,D
Mallorca,Cadiz,16,6,3,3,14,18,7,0,2,3,0,0,1,1,D
Las Palmas,Getafe,11,12,6,4,11,9,4,4,0,5,0,1,1,0,H
Girona,Valencia,9,9,5,3,6,7,3,2,2,3,0,0,0,0,H
Ath Bilbao,Vallecano,9,11,4,3,15,11,7,2,1,2,0,0,1,0,H
Real Madrid,Granada,11,1,4,0,10,12,6,0,2,1,0,0,1,0,H
Osasuna,Sociedad,9,17,3,5,12,10,1,8,3,3,0,0,1,1,D
Mallorca,Alaves,7,7,3,4,16,15,5,4,4,2,0,0,0,0,D
Almeria,Betis,20,6,8,2,12,8,4,6,0,3,0,1,0,0,D
Sevilla,Villarreal,18,5,4,4,6,16,8,4,3,2,0,0,0,0,D
Barcelona,Ath Madrid,13,9,2,4,17,12,7,2,5,4,0,0,1,0,H
Celta,Cadiz,26,2,7,1,14,18,12,1,1,6,0,1,0,1,D
Getafe,Valencia,8,3,6,0,15,14,7,0,2,4,1,2,0,0,H
Alaves,Las Palmas,19,9,5,2,13,13,12,3,3,4,0,0,0,1,A
Betis,Real Madrid,14,12,6,2,14,7,8,6,2,1,0,0,0,0,D
Villarreal,Sociedad,20,16,4,5,10,22,5,3,2,1,0,0,0,3,A
Mallorca,Sevilla,6,19,3,5,15,6,4,12,2,2,0,0,1,0,H
Ath Madrid,Almeria,13,19,4,5,13,11,3,15,1,0,0,0,2,0,H
Cadiz,Osasuna,12,13,5,5,15,16,2,4,1,2,0,0,1,0,D
Barcelona,Girona,31,15,11,7,7,10,8,3,1,2,0,0,1,2,A
Granada,Ath Bilbao,7,19,4,4,9,11,1,8,0,2,0,0,0,1,D
Vallecano,Celta,17,4,4,2,15,10,8,1,3,0,0,0,0,0,D
Osasuna,Vallecano,10,9,4,3,20,13,9,1,2,3,0,0,0,0,H
Celta,Granada,11,7,4,2,20,18,7,1,6,2,1,0,1,0,H
Ath Bilbao,Ath Madrid,16,7,7,3,7,10,3,7,0,1,0,0,0,0,H
Sevilla,Getafe,12,14,4,7,18,18,4,2,3,3,0,0,0,2,A
Valencia,Barcelona,11,16,4,8,9,11,4,6,1,2,0,0,0,0,D
Almeria,Mallorca,7,20,1,2,12,9,4,4,2,1,0,0,0,0,D
Sociedad,Betis,12,12,4,3,12,12,3,7,3,4,0,0,0,0,D
Las Palmas,Cadiz,7,13,2,5,9,12,4,6,1,3,0,0,1,0,D
Real Madrid,Villarreal,22,3,9,1,14,12,11,0,2,3,0,0,2,0,H
Girona,Alaves,9,12,4,2,9,7,3,2,0,1,0,0,2,0,H
Vallecano,Valencia,7,8,1,3,16,18,8,1,1,5,0,1,0,0,A
Ath Madrid,Getafe,8,29,4,9,7,14,1,12,3,3,1,0,1,0,D
Granada,Sevilla,12,12,3,5,10,18,6,4,2,1,0,0,0,2,A
Barcelona,Almeria,30,10,11,5,16,9,12,0,3,3,0,0,1,1,H
Ath Bilbao,Las Palmas,19,5,10,1,12,11,5,2,1,3,0,0,0,0,H
Villarreal,Celta,12,15,8,5,16,15,4,7,2,4,0,0,2,0,H
Betis,Girona,21,12,4,4,6,9,7,6,2,2,0,0,0,1,D
Cadiz,Sociedad,10,8,2,1,16,15,7,5,3,1,0,0,0,0,D
Alaves,Real Madrid,8,9,2,4,18,13,3,3,3,1,0,1,0,0,A
Mallorca,Osasuna,15,12,8,7,11,12,6,0,3,1,0,0,1,1,H
Ath Madrid,Sevilla,12,8,4,2,12,19,6,5,7,3,1,0,0,0,H
Getafe,Vallecano,5,12,0,8,16,16,2,3,6,3,2,0,0,1,A
Sociedad,Alaves,16,7,6,2,9,17,6,4,4,4,1,0,0,0,D
Valencia,Villarreal,11,8,8,4,12,15,4,3,2,5,0,0,2,0,H
Granada,Cadiz,15,15,8,2,17,16,5,6,3,4,0,1,1,0,H
Celta,Betis,19,14,6,3,10,12,8,7,0,2,0,0,1,1,H
Real Madrid,Mallorca,17,7,5,0,5,15,5,4,2,3,0,0,0,0,H
Girona,Ath Madrid,17,18,9,12,8,10,7,8,0,1,0,0,3,2,H
Osasuna,Almeria,14,4,2,0,14,5,5,4,1,2,0,0,1,0,H
Sevilla,Ath Bilbao,11,15,2,6,9,19,5,4,3,1,0,0,0,1,A
Las Palmas,Barcelona,12,15,3,5,14,5,5,10,5,2,1,0,1,0,A
Sevilla,Alaves,19,16,4,8,12,13,5,4,4,3,0,0,0,2,A
Las Palmas,Villarreal,8,17,3,3,13,11,4,6,4,3,0,0,1,0,H
Mallorca,Celta,17,6,6,2,18,18,10,1,4,1,0,0,1,1,D
Ath Bilbao,Sociedad,10,9,3,1,16,21,5,5,1,4,0,0,2,0,H
Betis,Granada,25,6,6,2,11,17,13,1,3,4,0,0,0,0,H
Almeria,Girona,20,5,3,1,13,8,4,3,4,4,0,1,0,0,D
Cadiz,Valencia,10,9,2,5,15,15,3,1,4,2,0,0,1,1,A
Alaves,Cadiz,13,9,3,1,15,18,4,4,0,4,0,0,0,0,H
Vallecano,Las Palmas,16,10,3,5,19,8,12,0,3,1,1,0,0,1,A
Villarreal,Mallorca,18,8,5,2,13,11,4,6,2,2,1,0,1,0,D
Valencia,Ath Bilbao,6,6,1,3,11,14,4,2,0,3,0,0,0,0,H
Celta,Sociedad,6,6,2,2,12,18,6,3,1,2,0,0,0,1,A
Osasuna,Getafe,13,10,7,7,14,16,1,4,4,4,0,0,2,0,H
Real Madrid,Almeria,18,10,6,2,9,17,6,3,3,5,0,0,0,2,H
Betis,Barcelona,14,11,5,4,12,9,3,4,1,2,0,0,0,1,A
Girona,Sevilla,12,9,8,3,9,11,4,5,0,2,0,0,3,1,H
Granada,Ath Madrid,17,10,2,5,11,16,6,2,2,2,1,0,0,0,A
Almeria,Alaves,19,11,7,3,17,12,11,3,1,2,0,0,0,1,A
Sociedad,Vallecano,6,5,3,0,16,14,2,2,2,4,0,0,0,0,D
Las Palmas,Real Madrid,7,13,2,5,17,14,1,6,3,3,0,0,0,0,A
Barcelona,Villarreal,22,9,10,6,8,13,10,0,3,4,0,0,0,1,A
Mallorca,Betis,14,8,1,2,14,6,5,4,2,1,0,0,0,1,A
Celta,Girona,10,15,5,6,13,11,5,7,1,1,0,0,0,1,A
Cadiz,Ath Bilbao,9,8,2,0,13,14,6,8,4,2,0,0,0,0,D
Sevilla,Osasuna,10,11,5,4,19,13,2,4,3,0,1,0,1,0,D
Ath Madrid,Valencia,12,10,8,3,9,9,3,6,2,0,0,0,1,0,H
Getafe,Granada,7,16,4,3,17,11,4,3,2,1,0,0,2,0,H
Barcelona,Osasuna,16,9,4,1,9,12,6,6,1,2,0,1,0,0,H
Ath Madrid,Vallecano,8,10,3,2,11,13,5,6,0,3,0,0,1,1,H
Getafe,Real Madrid,10,16,2,9,16,5,2,6,1,2,0,0,0,1,A
Ath Bilbao,Mallorca,13,6,6,2,17,15,6,2,0,1,0,0,2,0,H
Valencia,Almeria,7,15,2,5,17,16,0,6,4,5,0,0,2,0,H
Granada,Las Palmas,3,16,1,6,6,16,2,9,4,3,1,1,1,0,D
